"Parameters","SVM.Train","NaiveBayes_Train","NaiveBayes_Test","DecisionTree_Train","DecisionTree_Test","RandomForest_Train","RandomForest_Test","LogisticRegression_Train","LogisticRegression_Test"
"Accuracy",0.9632,0.8256,0.823333333333333,0.9072,0.856666666666667,1,0.886666666666667,0.9496,0.863333333333333
"Balanced Accuracy",0.97783659729762,0.761506013913987,0.751687230262745,0.881213157691787,0.790279078409513,1,0.845565482826352,0.925261184033108,0.827569588591512
"Recall",1,0.548869425148495,0.555851370851371,0.839375378140353,0.668650793650794,1,0.778809523809524,0.883716524216524,0.688333333333333
"Specificity",0.955673194595239,0.974142602679479,0.947523089674119,0.92305093724322,0.911907363168233,1,0.912321441843181,0.890614654705564,0.896363096779763
"Precision",0.823076923076923,0.919230769230769,0.816666666666667,0.692307692307692,0.633333333333333,1,0.633333333333333,0.873076923076923,0.583333333333333
"Negative Predictive Value (NPV)",1,0.801010101010101,0.825,0.963636363636364,0.9125,1,0.95,0.96969696969697,0.933333333333333
"False Positive Rate (FPR)",0.0443268054047609,0.0258573973205206,0.0524769103258806,0.0769490627567802,0.0880926368317673,0,0.087678558156819,0.109385345294436,0.103636903220237
"False Discovery Rate (FDR)",0.176923076923077,0.0807692307692307,0.183333333333333,0.307692307692308,0.366666666666667,0,0.366666666666667,0.126923076923077,0.416666666666667
"False Negative Rate (FNR)",0,0.451130574851505,0.444148629148629,0.160624621859647,0.331349206349206,0,0.221190476190476,0.116283475783476,0.311666666666667
"F-Measure",0.902542367548314,0.687180780048292,0.655624506212741,0.75493516730592,0.630104895104895,1,0.691235431235431,0.878097726173198,0.628787878787879
"Mathews Correlation Coeffiecient (MCC)",7.32383506094997,5.14818803075412,2.50452923054746,6.43839731610282,2.76272812029462,7.90569415042095,2.99510712106707,7.10880018005852,2.81436789824406
"Informedness",0.955673194595239,0.523012027827974,0.50337446052549,0.762426315383573,0.580558156819026,1,0.691130965652705,0.774331178922088,0.584696430113097
"Markedness",0.823076923076923,0.72024087024087,0.641666666666667,0.655944055944056,0.545833333333333,1,0.583333333333333,0.842773892773893,0.516666666666667
